wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK158104,Maarn,2002,4.142087401995568,0.03982255085188235,NA,NA,NA,NA,NA
WK158104,Maarn,2008,4.14183600366647,0.03957115252278495,NA,NA,NA,NA,NA
WK158104,Maarn,2012,4.149271286015095,0.04700643487141026,NA,NA,NA,NA,NA
WK158104,Maarn,2014,4.181006962112596,0.07874211096891044,0.019067989115542222,0.06849693821425412,0.05558741929023739,-0.09317234981100732,0.028762114159883754
WK158104,Maarn,2016,4.175450767645619,0.07318591650193375,NA,NA,NA,NA,NA
WK158104,Maarn,2018,4.175626309296736,0.07336145815305063,0.008327110088617546,0.07568585324056211,0.054823704758988866,-0.09224790243395628,0.026772692498838162
WK158104,Maarn,2020,4.187688795732287,0.08542394458860197,0.008055192872120831,0.08194537999138989,0.05198116160966562,-0.08658065701555571,0.03002286713098108
WK158104,Maarn,2022,4.204413098951257,0.10214824780757199,0.014688403661181968,0.09773220850733053,0.050685215990176335,-0.09480096145094825,0.03384338109983114
WK158601,Wijk 01 Lichtenvoorde,2002,4.053640012083461,-0.048624839060223635,NA,NA,NA,NA,NA
WK158601,Wijk 01 Lichtenvoorde,2008,4.089428762569979,-0.012836088573706935,NA,NA,NA,NA,NA
WK158601,Wijk 01 Lichtenvoorde,2012,4.1092796469064075,0.007014795762721539,NA,NA,NA,NA,NA
WK158601,Wijk 01 Lichtenvoorde,2014,4.1241479672733075,0.021883116129622612,0.0013782496777076558,0.06962580702751284,0.04790128759005976,-0.11280269248202143,0.01578046431636354
WK158601,Wijk 01 Lichtenvoorde,2016,4.130346517195047,0.028081666051361837,NA,NA,NA,NA,NA
WK158601,Wijk 01 Lichtenvoorde,2018,4.1343314768667865,0.03206662572310189,0.00558937888827971,0.07635217349079204,0.048325660901920045,-0.12116399171857878,0.022963404160688608
WK158601,Wijk 01 Lichtenvoorde,2020,4.148551736596199,0.046286885452513034,0.010964552701814772,0.08218944929626394,0.04746851920940729,-0.11381080071555252,0.019475164960579255
WK158601,Wijk 01 Lichtenvoorde,2022,4.150559300026945,0.0482944488832598,0.009324938246201665,0.07978764572417689,0.04745622078063375,-0.11349405544471146,0.025219699576958684
WK158602,Wijk 02 Harreveld,2002,4.108939169950045,0.0066743188063598385,NA,NA,NA,NA,NA
WK158602,Wijk 02 Harreveld,2008,4.115350586311026,0.013085735167339779,NA,NA,NA,NA,NA
WK158602,Wijk 02 Harreveld,2012,4.117583477224326,0.015318626080640297,NA,NA,NA,NA,NA
